client_id,name,gender,Sum of age,Age group,banking_relationship,Income Band,estimated_income,loyalty_classification,occupation,nationality,joined_bank,Year of joining with bank,fee_structure,Client Net Worth,amount_of_creditcards,creditcard_balance,bank_loans,bank_deposits,banking_contact,business_lending,risk_weighting,Risk Category,saving_accounts,checking_accounts,foreigncurrency_account,superannuation_savings,properties_owned
IND12601,Justin Bishop,Female,58,Adult (30-59),Commercial Banking,Medium,168781.14,Platinum,Software Test Engineer I,Asian,13-04-2011,2011,High,223949.24,1,131.2,1150087.28,1056468.66,Bruce Butler,3207843.85,4,High Risk,251540.16,215605.85,74636.38,66158.9,1
IND12649,Timothy Kelly,Female,77,Senior (60 +),Private Banking,Medium,298198.79,Gold,Account Representative I,European,05-11-2016,2016,High,-262912.26,2,1969.78,721788.03,287081.2,Stephen Payne,643405.39,3,Moderate Risk,123838.95,315226.42,8521.3,49925.4,3
IND12660,Gregory Reed,Male,61,Senior (60 +),Retail Banking,High,480745.86,Jade,Software Engineer I,European,26-12-2009,2009,High,1233015.66,2,3950.53,270004.92,1112801.54,James Castillo,2296981.56,4,High Risk,324567.12,381237.56,49397.03,69602.45,1
IND12702,Shawn Austin,Female,65,Senior (60 +),Retail Banking,Medium,112254.77,Jade,Actuary,European,03-03-2020,2020,Low,-1011455.07,1,592.42,1414317.17,348082.73,Anthony Berry,1239307.34,2,Low Risk,45883.63,224671.58,7191.36,9488.16,3
IND12704,Laura Lawrence,Male,78,Senior (60 +),Institutional Banking,Low,45810.98,Platinum,Account Coordinator,European,23-08-2020,2020,Mid,-185725.89,1,4601.97,582740.22,319216.36,Shawn Long,865551.18,2,Low Risk,63480.53,235784.81,7853.71,18919.41,3
IND12706,Frances Gilbert,Female,21,Young (18-29),Private Banking,Medium,127646.31,Jade,VP Product Management,American,12-04-1996,1996,High,-17707.5,2,547.77,101437.25,39450.13,Joe Hanson,439850.83,2,Low Risk,13352.35,33987.81,6495.18,31475.04,1
IND12731,Rachel Adams,Female,26,Young (18-29),Retail Banking,Low,76005.3,Jade,Senior Financial Analyst,Asian,04-01-2002,2002,High,248388.06,2,5570.9,495739.92,606032.72,Frank Brown,172313.94,2,Low Risk,103025.56,399981.6,30266.72,40640.6,0
IND12762,Keith Hughes,Male,43,Adult (30-59),Institutional Banking,Medium,126724.19,Jade,Executive Secretary,Asian,10-04-2012,2012,High,1694581.18,1,3303.22,89262.61,1463854.89,Chris Armstrong,182903.63,2,Low Risk,312885.01,491676.45,19804.54,10407.11,3
IND12811,Heather Stewart,Female,48,Adult (30-59),Institutional Banking,Medium,202723.95,Gold,Administrative Assistant II,American,29-11-2006,2006,Low,-228544.17,2,1405.61,510642.72,222820.01,Benjamin Kim,423152.44,2,Low Risk,33423,304520.68,15783.98,27261.15,2
IND12887,Fred Armstrong,Male,82,Senior (60 +),Private Banking,Medium,121607.69,Jade,Pharmacist,Asian,16-05-2016,2016,Mid,-212769.64,1,1114.56,333286.56,82101.24,James Castillo,200671.2,1,Very Low Risk,33387.84,42692.64,17758.08,6142.4,3
IND13004,Ralph West,Female,83,Senior (60 +),Commercial Banking,High,358008,Jade,Web Designer III,European,28-12-2014,2014,High,-63561.81,1,4027.82,568206.05,424237.27,Shawn Cook,695986.83,3,Moderate Risk,67492.29,507799.15,28909.49,16942.5,1
IND13011,Aaron Turner,Female,20,Young (18-29),Retail Banking,Medium,184725.65,Silver,Assistant Manager,Asian,25-02-1995,1995,High,572555.78,2,8645.24,1416842.86,1609057.23,Dennis Ruiz,1396071.95,3,Moderate Risk,382006.39,393582.34,66035.66,6980.26,3
IND13072,Phillip Banks,Female,27,Young (18-29),Commercial Banking,Medium,296513.35,Silver,Programmer III,African,07-03-2014,2014,High,-1271993.39,1,6121.1,1272299.65,0,Shawn Wallace,221965.81,2,Low Risk,0,0,75612.89,6427.36,1
IND13115,Frank Gilbert,Female,83,Senior (60 +),Retail Banking,Medium,127319.91,Jade,Statistician III,African,14-07-2016,2016,Mid,1103159.45,1,2700.11,498813.28,1415618.53,Raymond Alexander,716817.82,2,Low Risk,167777.01,713052.3,35231.19,21277.3,3
IND13182,Jennifer Rice,Female,30,Adult (30-59),Commercial Banking,Low,97698.89,Silver,Web Developer III,Australian,11-11-2016,2016,Mid,24257.98,1,688.57,371535.5,338535.57,Benjamin Kim,876909.62,1,Very Low Risk,33853.56,270828.46,24226.86,24092.92,0
IND13219,Jeffrey Carroll,Female,29,Young (18-29),Private Banking,Medium,290163.8,Gold,Accountant II,Australian,14-04-1995,1995,Low,-354479.36,2,1111.76,830516.96,405245.57,Frank Brown,2262153.92,2,Low Risk,26594.24,200090,59999.68,45309.55,1
IND13248,Brenda Montgomery,Male,63,Senior (60 +),Commercial Banking,Low,67646.56,Jade,Web Developer I,European,26-01-2010,2010,Mid,-228735.95,1,1407.58,270694.94,27280.61,James Castillo,238537,1,Very Low Risk,14479.71,13010.75,8318.7,1606.25,3
IND13283,Nicholas GoPKRales,Male,48,Adult (30-59),Retail Banking,Medium,216833.85,Jade,Nurse Practicioner,American,13-12-2015,2015,High,421937.24,3,1004.94,530725.89,782142.52,Bruce Porter,504176.13,2,Low Risk,157044.36,301771.52,56334.43,14481.19,1
IND13296,John Powell,Female,76,Senior (60 +),Private Banking,Medium,128380.31,Platinum,Assistant Manager,European,20-01-2004,2004,High,-1289233.4,1,9587.91,2015150.96,570860.32,Roy Rice,2411017.44,4,High Risk,124992.29,123126.74,117978.06,39652.86,2
IND13323,Gary Wheeler,Male,75,Senior (60 +),Retail Banking,Medium,169548.06,Silver,Human Resources Assistant IV,European,15-06-1996,1996,High,647041.73,2,4898.56,87256.75,629108.14,Todd Roberts,1556067.51,1,Very Low Risk,96169.4,208367.03,46589.07,13919.5,3
IND13347,Jean Reed,Male,78,Senior (60 +),Retail Banking,Medium,280286.64,Jade,Accountant III,European,19-07-2021,2021,High,693199.64,1,4942.67,153326.81,611071.7,Joe Price,1007843.8,4,High Risk,197699.67,503235.52,21493.68,42697.75,0
IND13368,Anne Hill,Male,51,Adult (30-59),Private Banking,High,472444.7,Jade,Registered Nurse,Asian,25-02-2021,2021,Low,-965691.91,2,4135.94,1674541.5,600552.84,Mark Montgomery,1205068.19,4,High Risk,91260.48,406256.33,45600.61,21172.21,1
IND13395,Kenneth Clark,Male,25,Young (18-29),Institutional Banking,High,364513.86,Jade,Programmer IV,European,02-11-2019,2019,High,383883.62,1,4294.49,63118.15,321916.53,Shawn Wallace,1005176.25,4,High Risk,80479.13,394070.24,26637.14,48900.6,3
IND13419,Denise Garza,Male,45,Adult (30-59),Institutional Banking,Medium,202929.55,Gold,Assistant Manager,Asian,04-04-2005,2005,Low,-502792.73,1,579.46,710672.35,124384.23,Dennis Ruiz,778678.71,4,High Risk,40097.55,83468.36,60366.12,43977.3,2
IND13447,Marilyn Stewart,Female,78,Senior (60 +),Private Banking,Low,84509.08,Silver,Programmer Analyst III,Australian,14-10-1996,1996,High,242670.42,2,2304.55,123482.47,227737.08,Anthony Berry,745954.2,2,Low Risk,101668.34,67778.89,6252.62,39052.02,0
IND13486,Annie Henderson,Female,20,Young (18-29),Private Banking,Medium,151820.92,Platinum,Human Resources Manager,Asian,02-04-2008,2008,Low,323464.18,1,3275.7,432015.15,558792.34,Mark Montgomery,1169260.81,3,Moderate Risk,156853.99,176460.74,29976.48,43108.7,3
IND13491,Brandon Shaw,Male,73,Senior (60 +),Retail Banking,Low,66498.89,Silver,Statistician IV,Asian,13-02-2010,2010,High,1108772.83,1,4972.43,1484824.13,2101187.05,Samuel Fowler,1722917.34,2,Low Risk,486516.46,437159.72,40551.04,10865.88,0
IND13509,Louis Schmidt,Male,78,Senior (60 +),Private Banking,Low,89675.55,Gold,Safety Technician II,American,25-07-2006,2006,High,1929757.34,2,3385.17,989565.25,2380126.61,James Castillo,959324.93,2,Low Risk,537973.82,554276.06,11433.52,4607.33,0
IND13570,Philip Day,Female,67,Senior (60 +),Institutional Banking,Low,87849.47,Silver,Software Test Engineer II,Asian,07-04-2015,2015,High,727737.61,1,78.62,803444.46,1242347.22,Bruce Butler,464560.28,1,Very Low Risk,279528.12,328334.62,27125.28,9385.35,0
IND13603,Annie Grant,Female,22,Young (18-29),Retail Banking,High,381103.3,Jade,Senior Editor,European,18-06-2000,2000,Mid,140200.23,1,4636.72,573978.5,592604.24,Joshua Ryan,2167704.06,4,High Risk,103965.66,311896.97,2487.8,22245.55,0
IND13675,Johnny Castillo,Female,72,Senior (60 +),Institutional Banking,Low,56742.37,Jade,Senior Financial Analyst,European,23-02-2005,2005,Mid,9501.89,1,2306.88,306206.15,259379.02,Dennis Ruiz,381291.36,1,Very Low Risk,52646.24,151518.44,22486.23,5989.66,2
IND13684,Lisa Cunningham,Male,47,Adult (30-59),Retail Banking,Low,42385.16,Gold,Statistician I,Asian,18-09-2019,2019,Mid,-534937.05,1,2287.96,540733.61,0,Bruce Butler,308688.63,1,Very Low Risk,0,0,20014.07,8084.52,3
IND13711,Lawrence Williamson,Female,37,Adult (30-59),Retail Banking,Low,51068.56,Jade,Senior Cost Accountant,Asian,21-09-2000,2000,Low,905595.41,1,2302.7,972574.5,1756142.53,Adam Hernandez,414118.5,2,Low Risk,104684.34,935088.88,38393.31,19645.74,0
IND13753,Norma Stone,Male,26,Young (18-29),Retail Banking,Medium,198366.99,Jade,Statistician IV,American,04-07-1995,1995,High,-127813.74,3,1613.17,443007.06,228238.26,Anthony Berry,804133.2,2,Low Risk,72249.21,251849.11,750.13,16319.02,2
